,RNA.CST,RNA.HYP,RNA.RN,RNA.DP,RNA.MED,RNA.Other
Nrl,0.00148482389478089,0.00401060194765254,0.000814115128090839,0.004906453379401,0.00734747990586746,0.00980368138054873
Gm10876,0.000850291346559742,0,0.000320336091501826,0.000656919298121145,0.00173641521302556,0
Pck2,0.0721115591154845,0.117401209708902,0.0807490323621226,0.124996839986976,0.115528799113752,0.0999070813983939
A730061H03Rik,0.00805999452586796,0.0500185301191304,0.0186587640417582,0.0175531461798083,0.0187455384864936,0.0194240382862022
Dcaf11,0.212695957067723,0.248230428211331,0.31178228222201,0.253514661706598,0.258382217312923,0.235339989950525
Gm15932,0.00701395056813291,0.0107311559568553,0.011897962409541,0.0208018116348974,0.0190464364276842,0.00226001719733175
Fitm1,0.00365087109468328,0.00502041770554948,0.00728244475887318,0.00757259568418037,0.00829453909910466,0.0023995781129695
Psme1,0.0198368339410818,0.235770806804336,0.0408907305754884,0.137950957160648,0.12690564603216,0.158584013738948
Emc9,0.146294332283159,0.377915067264053,0.391285421199999,0.64090933029563,0.473167612227495,0.515647572429403
Psme2,0.0304838868083174,0.122841592663971,0.0671224396966514,0.0982047498587924,0.0776000807847136,0.117438924391078
Rnf31,0.080847154945112,0.116106791380854,0.0558142873875333,0.0902650803471946,0.100133655812808,0.125978864416999
Irf9,0.0786046451230511,0.0730766464030581,0.080196568373448,0.0717108648592881,0.0989069904456383,0.080584470244391
Rec8,0.00521895702785351,0.108185766834413,0.0718260965924408,0.138879392321981,0.108555307353164,0.068618255730745
Ipo4,0.187251670816177,0.16186212506173,0.161263995470746,0.180484169734693,0.168303705077263,0.163534753633385
Tm9sf1,0.0649938534788096,0.102599586026022,0.082965198256156,0.0988411670509685,0.083117774090988,0.115897907669077
Gm49747,0.00514900601786322,0.00234918863263547,0.0100397986856787,0.00824774594441164,0.0126988772592704,0.0112916490546965
Tssk4,0.0013186127209693,0.00921456618345418,0.00224049603927525,0.00169457826992636,0.000935477596724537,0.00205400893247405
Mdp1,0.0471180138828508,0.132038965676237,0.132726002069267,0.132516356146155,0.139693606309221,0.138793650195301
Nedd8,0.225637372792725,0.444936349701194,0.318566648896821,0.448628861308889,0.413968363667285,0.404048652081741
