812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
Hlf,3.91E-37,-1.529512223,0.209,0.454,8.49E-33,-0.344267098
Ptprr,1.50E-102,-1.527312186,0.482,0.818,3.25E-98,-1.190688023
Smim18,0.000298309,-1.527087628,0.02,0.05,1,0
Pzp,4.10E-08,-1.525404104,0.087,0.16,0.000889854,0
Ccdc167,1.63E-11,-1.523905394,0.102,0.201,3.54E-07,0
1810034E14Rik,2.82E-59,-1.52145265,0.377,0.657,6.11E-55,0
Marcks,4.44E-07,-1.520597609,0.05,0.109,0.009646585,0
Lypd1,6.80E-14,-1.519937855,0.122,0.236,1.48E-09,-0.656341767
Cdk18,0.000514054,-1.518899282,0.027,0.057,1,0
2300009A05Rik,8.74E-12,-1.515143845,0.098,0.198,1.90E-07,0
Nox3,0.003010987,-1.514815014,0.026,0.05,1,0.346139512
Plxna4os3,3.02E-41,-1.513125541,0.254,0.5,6.55E-37,-0.349864105
Rbm11,2.28E-08,-1.511504756,0.075,0.149,0.000495956,0.456430248
Prex2,2.44E-24,-1.508592739,0.152,0.329,5.29E-20,-0.374376358
1700026F02Rik,6.60E-07,-1.508252623,0.064,0.124,0.014333693,0.730336408
Mmgt2,0.00150495,-1.508149733,0.034,0.062,1,0
Slain1,4.53E-48,-1.507708408,0.301,0.564,9.83E-44,0
F2rl2,1.97E-08,-1.506733978,0.044,0.109,0.000428316,0.600778791
Hdac9,4.61E-190,-1.505167817,0.865,0.983,1.00E-185,-1.175255567
Zfp280b,5.40E-06,-1.503954791,0.051,0.103,0.117156921,0
Myo5b,1.90E-10,-1.503367493,0.072,0.159,4.13E-06,0
Pecr,1.71E-11,-1.503339333,0.101,0.2,3.71E-07,-0.382592336
Caly,1.99E-13,-1.50309834,0.112,0.224,4.32E-09,0.381343041
B4galt4,5.94E-09,-1.501886315,0.069,0.146,0.000128919,0
Cfap157,1.36E-07,-1.501147982,0.066,0.133,0.002962904,0
Htr7,2.36E-08,-1.500926359,0.095,0.172,0.000513003,-0.937825248
Rbm24,7.24E-56,-1.499900124,0.35,0.624,1.57E-51,-0.443591584
Dancr,3.91E-06,-1.49797537,0.047,0.098,0.084891139,-0.348030614
Plppr3,1.85E-10,-1.497008236,0.082,0.171,4.02E-06,-0.327343537
Hpgds,1.97E-21,-1.494786227,0.152,0.317,4.27E-17,0.355013948
A830009L08Rik,0.000373835,-1.493978806,0.049,0.086,1,0
Lrrtm1,2.19E-45,-1.493399272,0.306,0.561,4.75E-41,-0.485313266
Zfp652os,0.000280133,-1.492876927,0.04,0.076,1,0
Zkscan16,1.85E-11,-1.490648708,0.086,0.182,4.02E-07,0.70886215
Cdh9,9.79E-13,-1.487098919,0.076,0.178,2.13E-08,0
Angptl3,1.45E-08,-1.486955419,0.104,0.183,0.000314735,0
Ggct,0.000279278,-1.486634158,0.03,0.064,1,-0.547259527
Zbtb26,8.08E-06,-1.484628788,0.072,0.126,0.175455569,0
3110083C13Rik,2.28E-05,-1.482905477,0.025,0.063,0.495545883,0
Ino80dos,1.31E-25,-1.482476641,0.24,0.417,2.85E-21,0
Myo5c,2.48E-10,-1.481183952,0.091,0.18,5.38E-06,-0.949871981
Gprin3,7.17E-88,-1.4797241,0.504,0.789,1.56E-83,-0.57435078
4921511C10Rik,1.33E-67,-1.479259336,0.444,0.72,2.89E-63,0.443303876
Fbxo16,1.66E-10,-1.479173207,0.116,0.209,3.61E-06,0
Nox1,2.23E-22,-1.4772149,0.15,0.318,4.85E-18,-0.438871274
Rsf1os1,6.14E-31,-1.47632423,0.265,0.466,1.33E-26,0
2810429I04Rik,1.75E-06,-1.47436732,0.044,0.097,0.037931942,0
Foxp2,2.58E-23,-1.472310103,0.258,0.427,5.61E-19,-1.064026891
Rmi1,6.55E-05,-1.471580559,0.038,0.079,1,-0.432612578
Anxa13,5.24E-08,-1.470258703,0.045,0.108,0.001137163,-0.558781038
Galk1,2.56E-07,-1.469554747,0.038,0.095,0.005547698,0.821388973
Ankrd61,1.40E-07,-1.468381011,0.077,0.146,0.003036577,0
Ccng1,4.62E-15,-1.468209615,0.104,0.226,1.00E-10,-0.438724455
Trhde,3.36E-45,-1.467693583,0.237,0.508,7.30E-41,-1.595699524
Sorbs2os,3.46E-55,-1.467561487,0.323,0.609,7.52E-51,-0.456364089
2610316D01Rik,2.02E-06,-1.467366368,0.083,0.143,0.043825726,-2.374004159
9430037G07Rik,0.000724456,-1.46479613,0.036,0.068,1,0
Ephb3,2.01E-08,-1.463956531,0.069,0.142,0.000435989,-0.622178909
4930484I04Rik,2.85E-08,-1.463271368,0.111,0.189,0.000618033,0
Lamtor2,1.89E-07,-1.461621589,0.057,0.12,0.004108378,0.334781813
Asf1a,9.52E-05,-1.46122313,0.047,0.088,1,0
Angpt2,6.28E-20,-1.461154701,0.207,0.355,1.36E-15,-0.425309227
Kif15,0.000155159,-1.459110113,0.039,0.077,1,0
