,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
Gm553,0.075858406,0.067710102,0.040256027,0.031652517,0.009391684,0.103381568,0.067109734,0.041035637
Gm28178,0.004064378,0,0.000417821,0.001707066,0,0,0.002724402,0
Nemp2,0.153457708,0.09694846,0.137636838,0.114177265,0.082939529,0.117378716,0.110643604,0.152618557
Mfsd6,0.830084886,0.836633805,0.917261653,1.161037502,0.82487879,0.682924429,0.640230358,0.902003239
Gm29670,0.008464285,0.004135986,0.011245199,0.007038179,0.010515329,0.011839917,0.001619061,0.011818331
Inpp1,0.241533379,0.176512173,0.17236803,0.207602438,0.159173703,0.25413821,0.192038268,0.291805172
Hibch,0.644766911,0.700018645,0.644513741,0.509019614,0.439629818,0.500417282,0.900956269,0.453449436
1700019D03Rik,0.399438477,0.228272515,0.096431545,0.12611611,0.065714991,0.33710269,0.283673264,0.135514008
Mstn,0.002526417,0.005236434,0.003988432,0,0.001424576,0.008267513,0.005891567,0.001886461
1700019A02Rik,0.051653015,0.042305897,0.010553147,0.055491777,0.01390213,0.049308467,0.017891814,0.02035897
Pms1,0.220365535,0.199479043,0.071294947,0.190557416,0.086769998,0.232736832,0.12727411,0.077066802
Gm28777,0.000215844,0.000388626,0,0,0,0,0,0
Ormdl1,0.019456872,0.030440994,0.010463127,0.02688538,0.023876844,0.013763382,0.011111902,0.005062402
Osgepl1,0.15727833,0.137190346,0.07419708,0.102313246,0.06858576,0.149934677,0.108372937,0.13067368
Asnsd1,0.016912921,0.017253705,0.007411804,0.028945362,0.014386811,0.036701294,0.021289731,0.0113803
Dnah7a,0.02909341,0.049253056,0.02395455,0.029696427,0.03068666,0.043015413,0.077378319,0.015701833
Stk17b,0.014754914,0.018633389,0.011342788,0.013967418,0.013230408,0.028049685,0.00842716,0.025251062
Hecw2,5.727668994,6.400355763,6.272301433,6.377673911,5.638364656,4.909056624,7.972974543,5.417162728
Ccdc150,0.053392953,0.066760417,0.061974637,0.034731376,0.051434288,0.062729212,0.086552472,0.027649906
Gtf3c3,0.330964947,0.342291984,0.311792673,0.285160956,0.265669161,0.320030891,0.428167547,0.244823913
Pgap1,0.202230232,0.165754029,0.147193803,0.245761595,0.129424976,0.248834778,0.129574144,0.155101346
Ankrd44,0.230569426,0.230276676,0.177461365,0.371667955,0.255433561,0.383828187,0.472875798,0.215067816
4930444A19Rik,0.038044614,0.019559598,0.020674217,0.050585677,0.024963404,0.038676639,0.012401362,0.032958926
Sf3b1,1.018804476,0.820400831,1.109771763,0.838284692,0.955174088,1.001927397,1.010951086,0.949372881
Coq10b,0.193148653,0.164393607,0.183277465,0.210523968,0.187329536,0.200228048,0.279519242,0.227015749
Hspd1,0.191581892,0.174401001,0.221374934,0.166378841,0.159126346,0.16169175,0.254463999,0.197941279
Hspe1,0.055677491,0.038414854,0.076100979,0.031754136,0.04445737,0.10136371,0.077200705,0.06419922
Mob4,0.492300968,0.608001797,0.582589596,0.632452756,0.689870143,0.598587472,0.520701195,0.621501405
Rftn2,0.019341555,0.030642169,0.053019839,0.03688731,0.064101494,0.103694777,0.086039253,0.086170193
Gm10561,0.006415326,0.007402365,0.014769727,0.004459657,0.017738865,0.022903742,0.014557075,0.011651016
Mars2,0.021461396,0.037555744,0.015909097,0.046684224,0.047874825,0.014901864,0.024596771,0.039247824
Boll,0.005848222,0.014232418,0.009468129,0.007118049,0.010117355,0.010178719,0.00623699,0.002220484
Plcl1,0.614306538,1.578922112,0.537556273,1.097120265,0.634302207,3.212848542,2.3178057,0.379400122
9130227L01Rik,0.001583744,0.000355027,0.000662638,0.000405399,0,0.001313689,0.003467695,0.003394464
Satb2,1.191765682,1.335761423,0.932353552,1.588723665,1.158974529,1.936486635,1.171927958,0.855660817
9130024F11Rik,0.142948604,0.139611924,0.086318558,0.064033088,0.058933925,0.54566662,0.090013416,0.097216132
4930558J18Rik,0.003011433,0.000429223,0.000478062,0,0,0,0,0
1700066M21Rik,0.021581212,0.019357426,0.009893196,0.022980153,0.0063473,0.044931885,0.039308276,0.007463778
Tyw5,0.109883845,0.132569232,0.117363665,0.133116298,0.1418867,0.182135647,0.075083997,0.103537032
Maip1,0.058968835,0.074941347,0.068303637,0.057652162,0.065973643,0.055082852,0.031830534,0.060196693
Spats2l,0.151587511,0.145643185,0.156805662,0.137114927,0.171130486,0.361816247,0.05191356,0.245995707
Gm17234,0.0008672,0.001928907,0.001876305,0.000763988,0,0,0.002977786,0.009699445
Kctd18,0.102683015,0.140678262,0.127042789,0.119359937,0.107570079,0.127354924,0.069749431,0.08581513
Sgo2a,0.001862147,0.00076676,0.00239541,0.005554453,0.001229505,0,0,0
Aox1,0.02040673,0.010071834,0.017742335,0.012332614,0.004526954,0.160359263,0.054986871,0.04048324
Aox3,0.001809507,0.007251059,0.002676085,0.003536259,0,0,0.007703923,0
Aox4,0.003912204,0.016359171,0.019028603,0.010916641,0.008677622,0,0.038792954,0
Gm15759,0.002338153,0.010223751,0.005899043,0.013554045,0.002272353,0.005365526,0.012364868,0
Aox2,0.017265568,0.02582047,0.009014925,0.024346534,0.022333373,0.009331307,0.032386721,0.013724657
Bzw1,0.245544474,0.299389484,0.279790319,0.351558506,0.257422133,0.258673402,0.279607365,0.230659551
Clk1,1.119341771,1.155202919,1.42550556,1.16716279,1.380320574,1.214388809,1.17912099,1.64204233
Ppil3,0.174095119,0.153545081,0.128105858,0.161936409,0.141240157,0.14208751,0.426807469,0.123394624
Nif3l1,0.135182803,0.172929957,0.231805344,0.224052714,0.233955656,0.164429822,0.995685234,0.145851547
Orc2,0.646077575,0.649346189,0.578809377,0.470725367,0.505251961,0.742284785,0.887115537,0.523486617
Gm15834,0.203813515,0.201211709,0.115506966,0.176403963,0.152238282,0.11734153,0.173179259,0.128205802
Fam126b,1.401501791,1.220455572,1.164173085,0.880582803,0.791283791,1.143415988,1.075253424,0.883209508
Ndufb3,0.174989431,0.153611214,0.118708982,0.170033936,0.107152863,0.138135463,0.137757201,0.112566386
Flacc1,0.022780675,0.01143262,0.007119213,0.020732052,0.010466441,0.010469104,0.00985027,0.003936623
Cflar,0.202911261,0.184649904,0.179836349,0.190316464,0.239220598,0.182891418,4.001883177,0.351374642
Casp8,0.020903203,0.025540139,0.028815988,0.016584399,0.016776539,0.028544626,0.790737767,0.019543012
Trak2,0.766784382,0.771894709,0.892705577,0.690529692,0.678173943,0.721226973,0.948144752,0.846540977
Stradb,0.327287529,0.320413785,0.287724643,0.197821766,0.181996571,0.198877029,0.261441822,0.280077186
C2cd6,0.017989809,0.006581327,0.007025472,0.015874034,0.01779997,0.012711531,0.017967567,0.018797817
Gm29018,0.005341603,0.003608194,0.007100455,0.011467443,0.019347966,0,0.019602042,0.015233352
Tmem237,0.147495164,0.116888813,0.135385103,0.113954583,0.140777018,0.128005769,0.105434528,0.109601015
G730003C15Rik,0.002781942,0.005641291,0.002420603,0.006430992,0.005861205,0.008856521,0,0
Mpp4,0.054091015,0.050535551,0.058552125,0.046495135,0.056386506,0.057697204,0.050212662,0.082436521
Gm29017,0.004334562,0.001988469,0.008849873,0.002323721,0.002241855,0.010171667,0,0.008828667
Als2,0.444849733,0.424607581,0.608078309,0.465658692,0.404355063,0.467922089,0.660080361,0.481232694
Cdk15,0.021348721,0.152037798,0.126490716,0.132456725,0.214679528,0.045607849,0.065798758,0.035118018
Gm29016,0,0,0.001551614,0,0.000750796,0,0,0
Gm973,0.038919682,0.025422271,0.030434218,0.038862926,0.010791127,0.230451379,0.655360316,0.012906737
Gm28411,0.001672546,0.004401569,0.002079175,0.003882018,0,0.028440359,0,0
Sumo1,0.979820614,0.927113847,0.947931131,0.743837485,0.661374706,0.875181161,1.352738602,0.766220903
Nop58,0.344800895,0.386334925,0.464096664,0.290435628,0.422032017,0.30942369,0.525651089,0.51893361
Bmpr2,1.282909963,1.323165686,1.637241396,1.623802281,1.57013398,1.502812352,1.245637653,1.64378587
Fam117b,0.893510587,0.763709709,0.977560281,0.99896464,0.843856197,0.674456525,0.789882126,0.882624452
Ica1l,0.604169004,0.414182983,0.356342286,0.466400234,0.278861451,0.480788724,0.355082641,0.527999213
Wdr12,0.429279762,0.368840571,0.394847236,0.290279508,0.339056092,0.356019548,0.963759638,0.414995242
Carf,0.437548791,0.403151943,0.32122403,0.394834003,0.355529293,0.38115803,0.242718912,0.349085614
Nbeal1,1.148806099,1.01948665,1.393826459,1.664555225,1.28962869,1.298567686,1.537078529,1.191920826
Cyp20a1,0.122282066,0.165107017,0.228930295,0.203440246,0.329862847,0.118821533,0.189153577,0.372215383
Abi2,1.386115361,1.558659095,1.47345991,1.562730915,1.323787766,1.340804521,1.083097595,1.383409317
Raph1,1.051417978,1.025504262,0.926425513,2.220756845,1.706421699,0.986902771,0.692905211,1.644859899
Cd28,0.000260229,0.006834102,0,0.000811263,0,0,0,0
2310016D23Rik,0.001187739,0.002225868,0.000644328,0.000725581,0,0.004262546,0,0
Ctla4,0.013431841,0.01281389,0.013308761,0.006292588,0.002272397,0.002680602,0.012660891,0.041220248
Icos,0,0,0.000468369,0.000698198,0,0.000930211,0.001982964,0
9530026F06Rik,0.001780741,0,0,0,0,0.001280053,0,0
Pard3b,0.03615749,0.053608124,0.101555699,0.04313326,0.037074532,0.184508024,0.381741917,0.027805855
Pard3bos1,0.001496822,0.004205605,0.000619677,0.000739954,0,0.024006669,0,0
Nrp2,0.002773147,0.005448669,0.026154521,0.004154225,0.007155997,0.078023241,0.017446548,0.001886461
Gm4208,0,0,0.000462106,0.001173126,0,0,0,0.001624067
Ino80d,0.681540141,0.657072895,0.754775987,0.781670875,0.729176285,0.850598377,0.581367559,0.66993359
Ino80dos,0.276055495,0.250006919,0.193867122,0.219024566,0.186065006,0.374254951,0.328691597,0.225262031
Gm20342,0.119347236,0.074153455,0.052208553,0.090709363,0.076032535,0.170162491,0.068129944,0.107332056
Ndufs1,0.693130894,0.73136415,0.632380735,0.595795128,0.55771699,0.689751855,0.669000918,0.618306449
Eef1b2,0.041046343,0.068211296,0.071452426,0.074103326,0.104747444,0.059376085,0.073676731,0.019389241
Gpr1,0.026042368,0.029887985,0.036514455,0.045527801,0.037193458,0.011251031,0.035498692,0.027529974
Platr12,0,0,0.000408107,0,0,0,0.005269012,0
Zdbf2,0.161323941,0.209829126,0.140186914,0.176696358,0.108685599,0.23019505,0.180357527,0.157104254
Adam23,3.570338518,3.472907788,3.809680294,4.10705461,3.308281404,3.02829808,3.968291501,2.499698607
Gm39653,0,0,0.000635975,0.001225167,0,0.002620751,0.011887708,0
Dytn,0.005659968,0.011282087,0.007034769,0.001143882,0.014588746,0.003167638,0.003291282,0.002081114
Mdh1b,0.025610318,0.013508278,0.018197921,0.020058015,0.018939425,0.008422595,0.045421544,0.022851407
Fastkd2,0.121531268,0.114606671,0.103007043,0.100248805,0.120264804,0.129553512,0.131329685,0.090403066
4933402D24Rik,0.013570892,0.016728122,0.008080183,0.007733123,0.007384604,0.008549052,0.043323174,0.003287538
Klf7,1.253876696,1.13757302,1.250701443,1.303044929,3.101226398,1.151013573,1.039695073,1.461492511
Gm13748,0.020468908,0.015295783,0.014221114,0.015575741,0.062921461,0.017224206,0.013136277,0.015501308
Gm28981,0.01266369,0.027314162,0.022341173,0.015458826,0.020969903,0.030275469,0.064687062,0.016318461
Creb1,0.727042929,0.68375913,0.544994827,0.889571111,0.728417504,0.891993639,0.515994463,0.651396923
Mettl21a,0.06093491,0.055321659,0.040769382,0.045719407,0.047939838,0.063348309,0.068988562,0.05590889
Gm28982,0.004813781,0.004613592,0.002853401,0.006594429,0.003975537,0.031607275,0.00742283,0.002908795
Gm29152,0.000760981,0.002480616,0,0,0.000624327,0,0.007061302,0
2810408I11Rik,0.001981823,0.002945856,0.000748525,0.001738437,0.000637229,0.006997558,0.007630894,0
Ccnyl1,0.099538629,0.120708832,0.090788416,0.195756103,0.110005552,0.164138391,0.102664309,0.06251085
Fzd5,0.00154985,0.004576404,0.001134076,0.00285535,0.002667981,0.001338961,0.002597963,0
Plekhm3,1.42101455,1.479890707,1.384035464,1.183619289,1.29908722,1.29669922,1.754930906,1.058502385
Akr1cl,0.004578597,0.000513417,0,0,0.001043281,0,0,0
Cryga,0.003302237,0,0,0,0,0.001468251,0,0
D630023F18Rik,0.064058088,0.011547445,0.009455403,0.019746424,0.008624295,0.061923713,0.033585597,0.034693632
Idh1,0.07544242,0.057897977,0.047832407,0.070585198,0.061833841,0.05445084,0.082767456,0.043265768
Pikfyve,0.677394929,0.702342918,0.689303422,0.602837846,0.585157635,0.648539927,0.876826787,0.593614108
Pth2r,0.01781945,0.014608572,0.016420174,0.005654528,0.02494695,0.003865052,0.065719421,0.00408388
Map2,7.281788957,14.69235834,10.15528549,15.24795226,16.25756724,6.845771555,8.566538666,9.250618671
Gm10558,0.033989497,0.109052586,0.036971454,0.082522299,0.100355981,0.049704473,0.054250058,0.049951414
Unc80,7.028737891,4.776848548,3.626739616,3.305460459,2.398633283,5.546726625,6.279404643,3.37322507
Rpe,0.18472155,0.177042555,0.145914076,0.170403313,0.136385052,0.190213982,0.222866784,0.127372654
Kansl1l,0.986541995,0.939650303,1.044360223,0.901728749,1.007892729,1.319676682,0.999735945,0.918266777
Acadl,0.014583482,0.015077803,0.015904969,0.022924049,0.012375721,0.036511029,0,0.006405208
Myl1,0.019683176,0.026815752,0.007981848,0.025420512,0.011361924,0.028328642,0.01399105,0.043429165
Lancl1,1.136188053,0.931020275,0.950020845,0.678545355,0.73922635,0.891560261,1.856895589,0.891147003
Cps1,0,0.001657084,0,0,0.000598067,0,0,0
Gm15668,0.003761727,0.000691038,0.008458007,0,0.006710168,0,0.039609867,0
Erbb4,0.033764875,0.038824534,0.079402851,0.055502962,0.030886452,4.717801348,0.135320512,0.048766821
Gm29113,0.000345197,0.001004711,0.00179472,0.000447366,0.002831523,0.013332445,0.005184987,0.003645152
Gm29114,0.013034814,0.010336757,0.011310978,0.007853745,0.011824113,0.003733528,0.013441087,0.02363166
Ikzf2,0.243199399,0.251674985,0.287843982,0.218419448,0.295375545,0.193622085,0.176959871,0.628528357
Gm29112,0.000568401,0.000421022,0.000398498,0,0.004326944,0,0,0.003394464
Gm28112,0.002298675,0.02249178,0.005382614,0.006780365,0.00758784,0.00255273,0.002849933,0.011560665
Spag16,0.030559604,0.022277945,0.045137927,0.030709711,0.023319148,0.031738402,0.333233196,0.022476128
Vwc2l,0.019102289,0.009588061,0.002311204,0.010097831,0.033674724,0.604561261,0.017101695,0
Bard1,0.005729138,0.00825624,0.008684655,0.010738939,0.010196254,0.005080322,0.012004442,0.032174522
Abca12,0.000700096,0.001594991,0.003322494,0,0.003313705,0,0.00225547,0
Atic,0.09714121,0.109151939,0.076803761,0.093517672,0.082427512,0.114587939,0.077013085,0.082209906
Fn1,0.003080058,0.001424187,0.013596624,0.000874804,0,0.028928425,0.003851961,0
Gm28818,0,0,0,0.001436104,0,0,0,0
4930556G22Rik,0.001739593,0.000603438,0.002208941,0,0,0,0.146158223,0.001582652
Gm4319,0,0,0,0,0.004343096,0,0,0.002335895
Mreg,0.063360556,0.069434554,0.123229663,0.070602346,0.101309451,0.06571869,0.176263879,0.194310168
Pecr,0.169758587,0.113149217,0.10056485,0.081618846,0.047447055,0.176752734,0.142202158,0.093831642
Tmem169,0.374319339,0.301005555,0.315669761,0.248229021,0.317975843,0.409581412,0.406370773,0.476889564
Xrcc5,0.358367773,0.406204839,0.266058994,0.287811787,0.269354643,0.324877875,0.303890438,0.252057492
4-Mar,0.52402643,0.969391729,0.413362866,1.235184714,0.673324954,0.480982472,0.521494835,0.508378677
Smarcal1,0.244941452,0.351650909,0.34697502,0.258777777,0.29401784,0.282119031,0.219834584,0.223532719
Gm39662,0,0.00216837,0,0.000554934,0,0,0,0
Ankar,0.001816044,0.009377664,0.007895049,0.010704373,0.002698425,0.012327652,0.00567523,0.002081114
Rpl37a,0.116921071,0.101813175,0.106635932,0.09389053,0.115950376,0.23003091,0.140060285,0.105690494
Igfbp2,0.010197337,0.005390412,0,0.010786285,0.006403602,0.064318641,0.005042445,0.033995033
Igfbp5,0.013125448,0.009315906,0.005113162,0.012543733,0.015577513,0.009573431,0.012309108,0.122372996
1700027A15Rik,0.005724019,0.020853066,0.015816698,0.011605279,0.018733434,0.006988697,0.09312931,0.011050146
Gm29185,0.006656285,0.015275562,0.015715266,0.01185118,0.008050248,0.010900181,0.052907844,0.004987169
Pinc,0,0.001318244,0.001449023,0,0,0.001568049,0.005976215,0
D530049I02Rik,0.000550172,0.002585046,0.004580099,0,0.000589064,0,0.011952429,0
6030407O03Rik,0.021397264,0.023404495,0.015786605,0.015110416,0.00296227,0.005460585,0.038206037,0.006916275
Tns1,0.123241389,0.169066644,0.159890352,0.239676517,0.165445014,0.067242708,0.16416002,0.16901399
Rufy4,0.004274934,0.009153591,0.00187214,0.009302385,0.019911779,0,0.002684423,0.007276851
Cxcr2,0.002908137,0.001193601,0.00120511,0.004422079,0,0.004850013,0.095084313,0
Arpc2,0.894457971,1.178133328,1.140630163,1.7117145,1.40320919,0.997587537,0.962429935,1.600138052
Aamp,0.144081605,0.146230223,0.135078054,0.099297793,0.115279247,0.09316641,0.244983499,0.125073398
Pnkd,0.707729042,0.658112783,0.62474462,0.335556662,0.447234865,0.737918876,0.739941617,0.511165274
Tmbim1,0.069087236,0.07195794,0.050304527,0.055195358,0.050739962,0.084718507,0.055124512,0.054040323
Gm29358,0.055705474,0.047448246,0.045452772,0.023929192,0.02419289,0.057463076,0.074632185,0.039017796
Catip,0.014676753,0.006530805,0.01616126,0.005401206,0.013160926,0.003825384,0.0480967,0.00278666
Slc11a1,0.00354448,0.001324529,0.000755806,0.001644098,0.000445788,0.001245132,0.005838868,0
Ctdsp1,0.009331197,0.010029475,0.007150655,0.013238724,0.008621145,0.020454177,0.004998956,0.008268747
Vil1,0.003044573,0.00421763,0.005490305,0.013947247,0.00196665,0,0.018042224,0.005220291
Usp37,0.747191331,0.71849088,0.695098965,0.693744571,0.72790232,0.558555105,1.12920567,0.662054363
Cnot9,0.200490073,0.212347536,0.236319167,0.185749531,0.175744922,0.248047766,0.209679868,0.222367065
Plcd4,0.025524014,0.028717032,0.012434736,0.018503195,0.015242627,0.168202819,0.119218606,0.002932824
Zfp142,0.15788555,0.150171979,0.23616311,0.110644355,0.156602073,0.2391342,0.466820454,0.189250821
Bcs1l,0.132193053,0.092318081,0.073673741,0.048815756,0.088077046,0.12127261,0.201526483,0.124897835
Rnf25,0.510379017,0.73128494,0.703183582,0.45316152,0.654167772,0.335923462,0.634822692,0.437469369
Stk36,0.046611201,0.0783354,0.089914591,0.078734384,0.188785216,0.069843888,0.161084787,0.055604474
Ttll4,0.240284484,0.231460081,0.323913204,0.225343223,0.428143237,0.282840178,0.412381089,0.379110504
Cyp27a1,0.00539608,0.002177328,0.002095394,0.009759662,0.003330236,0.041411201,0.041498017,0
Prkag3,0.003375486,0.002070516,0,0.002507747,0.002077491,0.005013735,0,0.003179415
Wnt6,0.00192646,0.001733581,0.001986969,0.006495629,0.002491268,0,0.006378398,0
Gm29539,0.000535302,0,0.000914457,0.001861228,0.001624551,0,0.002724402,0
Wnt10a,0.015140571,0.05345769,0.047078939,0.052233739,0.041038676,0.017046356,0.016509282,0.024950355
Gm16582,0.012151512,0.005126109,0.010005987,0.034357716,0.008365266,0.022722782,0.018316175,0.011574013
Cdk5r2,0.015246066,0.011384574,0.016699741,0.021350263,0.008962363,0.031241748,0.016488738,0.044922067
Cryba2,0.000879306,0.00113364,0.006241207,0.008381899,0.000424403,0,0.00143302,0.009442603
Cfap65,0.166310105,0.070158852,0.116827844,0.08072687,0.111178169,0.103122872,0.121764895,0.07639281
Gm15841,0,0,0,0,0.004253412,0.004190905,0,0
Ihh,0.001548274,0.002766865,0,0,0.000912285,0,0,0
Nhej1,0.134855067,0.115956933,0.097603889,0.111705429,0.094799093,0.146311877,0.184945133,0.138583636
Slc23a3,0.003589236,0.004685774,0.003647994,0.008572152,0.001080368,0,0.028157962,0.002240865
Cnppd1,0.114226519,0.106125332,0.149860227,0.15001788,0.134834552,0.083383308,0.135528981,0.104442669
Retreg2,0.132378343,0.121700305,0.119936545,0.118399421,0.096018296,0.134270672,0.167153854,0.135750555
Zfand2b,0.170664339,0.24292072,0.145867302,0.24509242,0.196913502,0.145653959,0.257339008,0.094513207
