,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4
Zbtb45,0.0119443003695283,0.0254756474465016,0.0333393091970991,0.0293023562328094,0.0476916492367793
Chmp2a,0.0859529127070393,0.0685488440014583,0.140958323629358,0.177353605872172,0.20245678709355
Ube2m,0.232448279235908,0.281937502863142,0.342829859171985,0.414266846810873,0.250640190070428
Mzf1,0.0831247352087696,0.101691572388558,0.0961966594729389,0.0950652313915484,0.0611181388390031
Vmn1r86,0.0191720241917193,0.0267051300632654,0.0341544120991836,0.00477255210490778,0
Zswim9,0.0658887682680598,0.0704264363918572,0.0244124395736537,0.0789755816822157,0.118349430771894
Lig1,0.0717480601516395,0.102026634303008,0.0957526856467175,0.210577089858685,0.117035646162055
Pla2g4c,0.00540661466198856,0.00674143228813021,0.00319248106858726,0.012627099837788,0.0244817639365977
Bsph1,0.00440442515996086,0.00709005306957652,0.00931368543321338,0.0103469841556378,0
Sult2a5,0.00149058690327827,0.000556716928926733,0,0,0
Sult2a2,0.00130771262753467,0.00579983732881739,0,0,0
Sult2a8,0.00623565324234646,0.00356714045508937,0.00245938207533481,0,0
Vmn1r90,0,0.000901840114569768,0.00471055966159339,0,0.0230742068122819
Obox1,0.0020763553685829,0.00368932390502341,0,0,0.0383477239514784
Crxos,0.00207149687214272,0.00207899284057747,0,0,0
Selenow,0.277098365979479,0.32241564344771,0.519827497754489,0.652443702989527,0.527544480965319
Nop53,0.046801276545327,0.0446092918815436,0.0681730003815776,0.0633859183800568,0.0441138878863729
Ehd2,0.00227650738806416,0.00520182563456305,0,0.00722401822389908,0.00921623310434066
Bicra,0.267688899451217,0.289451619214455,0.280738637531238,0.33124483292661,0.335886113949369
Gm38948,0.0617052743136009,0.104302622462592,0.173927456410585,0.154139402684377,0.0367724301855743
Zfp541,0.0306929813585007,0.0327738451495747,0.0494670859983354,0.0158398983589339,0
Napa,0.22619758842397,0.211526200018371,0.337066190044278,0.299128031162705,0.184681022757428
Kptn,0.237365331617008,0.240687989553573,0.30224269164782,0.303920020073731,0.159520144853426
Slc8a2,0.428279253991618,0.34727504818271,0.368165448611943,0.34189008036003,0.256062314980433
Meis3,0.0804985865189787,0.0733783182335176,0.0787492869398099,0.108117432162641,0.162242116551681
Dhx34,0.0772399389124324,0.103065916571226,0.0665458625073972,0.091488893414954,0.085040365722693
Inafm1,0.0451006244942516,0.0411433643418833,0.0666881982552736,0.159310241079135,0.0957683650432302
Ccdc9,0.103132139924434,0.130600456348186,0.0982537609904684,0.166179236826044,0.0871094392686557
Bbc3,0.0127143288073004,0.0152854575238546,0.0375760088951905,0.118251202177069,0.13314910069928
Sae1,0.408085600734526,0.428894893331163,0.339382712386838,0.44898343756129,0.497132107174698
Zc3h4,0.111806154190343,0.11836367986461,0.146466453953179,0.197654063363379,0.125048440204785
Gm45509,0.0420439025757495,0.0422146771798807,0.0708892770894737,0.0709644733631712,0.0777393596811616
Gm45510,0.0125395251260136,0.0121789171903566,0.0167286850657434,0.016258279449187,0
Tmem160,0.0510399377739763,0.0466321712903151,0.0802176204410961,0.106847129956914,0.145281129055858
Npas1,0.0142259091107257,0.0243349365287221,0.00652069789179314,0.0274342992870574,0.0449295791635134
Arhgap35,0.894868742085259,0.751066416720044,0.635865217692725,1.06144740941913,1.39779665082099
Gm29443,0.0348955840640886,0.0280900816121211,0.037645871471416,0.0311333156566887,0.0269680640471573
Ap2s1,0.081195208012047,0.0756610850613416,0.069806222919271,0.115006837294207,0.197138899978612
Slc1a5,0.00621706225618116,0.0125623211100222,0.0032388181423046,0.00364159790715434,0
Fkrp,0.0441715338641572,0.0345962873591268,0.0406813335706184,0.0524346814657549,0.00971223615496455
Strn4,0.508692266810689,0.529635018458943,0.540440501561209,0.603967107242163,0.29189649140556
Prkd2,0.0786376476933169,0.0960993178422046,0.0787754541440018,0.0950179447926465,0.0443677277016387
9330104G04Rik,0.0199050687427026,0.012661813797963,0.0282093289215232,0.0387987162076522,0.00971223615496455
Dact3,0.119479181453921,0.188180056241304,0.133672771361548,0.0970144729761244,0.0320386903516005
Calm3,0.21800224211671,0.233401917840149,0.294052539510862,0.322570846695218,0.153330147015164
Pnmal2,0.105457657587034,0.127762272393781,0.101282033544362,0.144449900711778,0.127292488669002
Pnmal1,0.109219343726019,0.096682467513368,0.125303131095331,0.118009998629235,0.050640339194254
Gm42372,0.176864107229585,0.175097656065874,0.208656895067414,0.255174726638468,0.147990555805095
Ccdc8,0.0137431907284553,0.0165226814272801,0.0182745637809861,0.0365812043762062,0.0163779506925416
Ppp5c,0.267529382628236,0.300799911524695,0.254404804170395,0.161160336908906,0.0933215528344019
Hif3a,0.0486036320726783,0.0451555012285588,0.0619594165617447,0.0417335519328882,0
Psg16,0.00853003067687171,0.0199511579507048,0.0172789737614646,0.0263000156424792,0.0112610329970789
Gm44613,0.00333253770784137,0.00264808360228817,0,0.00664782336255939,0
Psg17,0,0,0.00719786921388686,0.00484619157189131,0
Mill2,0.012536794907891,0.0158329782683547,0.0168139086739878,0.214530074399497,0.194340866698466
Pglyrp1,0.0902356407933059,0.0670692179768267,0.0982686817394741,0.0923451094396384,0.00657090665370008
Ccdc61,0.102606957607537,0.128134884841689,0.131292593473731,0.0807962442690968,0.0641442090278991
Nova2,1.05224549847214,0.877158961198213,0.793382356775352,0.907652317124351,0.783594598825272
Nanos2,0.00189378867140699,0,0,0.0240547952808752,0
Mypop,0.0986485151561997,0.099921688329866,0.103398162984857,0.119782287865361,0.0417158649639992
Mypopos,0.00415519218301235,0.00735921654034111,0.00942775948149956,0.014930960345761,0.0267596475219228
Irf2bp1,0.0225912621622517,0.0396521592926082,0.0439105216125516,0.074910208301669,0.110471761107931
Foxa3,0.00548035256538597,0.00636420019834938,0.00580451103379502,0,0.0267596475219228
Sympk,0.975611738391298,0.930940583141945,1.13348000530888,1.04434692903553,0.957944967005563
Rsph6a,0.00829299530690214,0.00479333292034106,0.0052312273498766,0,0
Dmwd,0.144210149580023,0.150707574377276,0.169709031308659,0.0950241481858157,0.168833999533935
Dmpk,0.0418820281342314,0.0321872505996775,0.0503933710617354,0.0670837204464475,0.0889096202207703
Gm4969,0.00382390167984001,0.00277281482542983,0,0,0
Fbxo46,0.107695108539455,0.0554579192154306,0.0730915864120088,0.0791888732411864,0.0365658510106546
Qpctl,0.149663340167949,0.141045179027081,0.212884203740916,0.202505373604648,0.264335222378575
Snrpd2,0.0797229890863753,0.0801812637915748,0.104026737808172,0.127886942154784,0.106340725354947
Gipr,0.0474689346744421,0.057772814953586,0.0524468596455849,0.0287881643534808,0.02651767202324
Eml2,0.979517126135748,1.00082678813535,0.981104710354736,0.737721704678776,1.14302051675323
Gpr4,0.0239015312103127,0.0139208617271507,0.0152942034342765,0.0141397863567535,0
Opa3,0.138689815959472,0.199579650988279,0.17078101833821,0.208734764346855,0.283713076043535
Vasp,0.0103268309143795,0.004993973299867,0.0083386766888855,0.006788595383879,0.021075368951526
1700058P15Rik,0.00260777069026105,0,0,0.0037519749458121,0.0145044622978259
Rtn2,0.0645595214864677,0.0747275937296999,0.0910645308392971,0.0864046861949489,0.0520780295279524
Fosb,0.0105051400853025,0.00961467242369771,0.00304859459789037,0.0229499519485553,0.0143469964562919
D830036C21Rik,0.201479739423948,0.179474939702748,0.171278962685533,0.253419151123747,0.150274830736229
Gm44698,0.015722763564039,0.0100947364431255,0.0180692647126663,0.00594251847096039,0.0135476572713663
Ercc1,0.0813334438959225,0.101168985638743,0.128183352514787,0.0989880979199906,0.04336851965895
Cd3eap,0.0987038800815627,0.091569015798445,0.165962350586204,0.179248281306996,0.0545986729781884
Ppp1r13l,0.0347917976091781,0.0336118360280717,0.0129345021219694,0.0237810549813206,0
Ercc2,0.0460239055744047,0.0538928794597591,0.0472765062769609,0.0539782904840979,0.143548775893924
Gm26852,0.0256324790455787,0.025508779077368,0.041110559428923,0.0263478183452214,0.028099043508559
Klc3,0.00110682768795871,0.000652234457415938,0.0087017504475815,0.0170013864329832,0.0726089973951325
A930016O22Rik,0.0316437272472651,0.0367739361176564,0.0548303659320567,0.0390094014685584,0.0369385342789598
Mark4,0.289509129134995,0.26511459515634,0.314372513556396,0.184687229824375,0.314628373056737
Exoc3l2,0.0125397785045932,0.0172009157466328,0.00596501108277509,0.0201959660515986,0
Bloc1s3,0.00312083692977359,0.00501709452439051,0.00416344042404485,0.00917594890098412,0
Trappc6a,0.0243788005752818,0.0442038504013592,0.0639773448779677,0.0912714718478486,0.0316998486594587
Ppp1r37,0.408660841918079,0.335848947703544,0.354194804828369,0.347036479782434,0.370808943897178
Gemin7,0.0438170181175808,0.0494529706308657,0.0386609604764042,0.0731623634074177,0.0890188923552775
Zfp296,0.00225120537155057,0,0,0.00241696457769224,0
Clasrp,0.86369616662964,1.03597075950913,1.23881161997502,0.90281753013973,0.525439780035154
Relb,0.0874453117587775,0.0790373439158758,0.0685455650555101,0.0645860981766151,0.0342171822589262
Clptm1,0.338768839527432,0.357604303315229,0.441901448576924,0.270111107810811,0.393431206573562
Apoc4,0.00838415007702497,0.0062321199044622,0.00984823391866001,0.00437819361860767,0
Apoe,0.0747763610063041,0.0680649138093267,0.0406992659661035,0.0674304868838752,0.0304125153583203
Tomm40,0.434973648129418,0.417751967430223,0.379280859414758,0.429319162164371,0.191220339021299
Nectin2,0.00316478578475532,0.00293975462388589,0.00467394118873281,0.00477024815307917,0
Bcam,0.00812604817659674,0.0130499838154052,0.013582921007685,0.016636151048627,0.015416705850794
Cblc,0.00579199317542487,0.00633699352536314,0.00439850063910214,0,0
Bcl3,0.00416788074494926,0.00196029976214722,0.00900832490681951,0.0130552456181231,0.0135476572713663
Gm16175,0.0037695183481357,0.00353727813990249,0.009345549889944,0,0
Gm19345,0.00220800684837808,0.0015179470676678,0.00613692300828321,0,0
Ceacam16,0.00410962794023739,0.0024604832338849,0.007585301995487,0.00511020458167031,0
Pvr,0.0566068719892282,0.0687572817047856,0.0826954392308693,0.157175640025079,0.362529218045892
Gm16251,0.0298223240527893,0.0126066537073504,0.0420084454143867,0.0165852448028522,0.069207259208011
Igsf23,0.00107664762077026,0.00296915368366711,0,0.00241002531972601,0
Vmn1r168,0.00196949297068276,0,0,0.00321318072438589,0
Vmn1r179,0.000760056304971072,0.0044566148076199,0,0,0
Vmn1r183,0.0129311175617628,0.00483055982859497,0.00578198910387986,0.0491177480263795,0.078033784237268
Gm36694,0,0.00106469955771057,0,0.0153352658136949,0.0350011881187437
Zfp180,0.150497025013243,0.136797505025691,0.133350758494041,0.187541715526975,0.219438219538947
Zfp112,0.279658571801736,0.2636275836229,0.303321724399393,0.398959167857191,0.203873677889815
Gm44793,0.00419873370597011,0.011202887035304,0,0.0138424724579232,0.031858702662276
Zfp235,0.060519590288984,0.0591850590970592,0.0369205429868292,0.0747052015314105,0.0304125153583203
