,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6
Gm33533,0.0446566316622561,0.03484390073462,0.012596271806797,0.0159229440647978,0.0588209176462951,0.0819570523193018,0
Zap70,0.00743957733303827,0.00342851355434722,0.0192223926712734,0.0144627365613195,0.00428555701551743,0.0310879407834432,0.00352616893381698
Tmem131,0.777964602952259,0.736557301411855,0.577639226819089,0.618307057590192,0.743001777717831,0.747543994703651,0.558805336042638
Gm38115,0.0446088725604902,0.0454942598808709,0.024178373466041,0.0232239399165636,0.0304655619412537,0.0594564085258889,0.003453179376784
Vwa3b,0.00240854447117695,0.00891235286046788,0.00333063445742474,0.000476493389845449,0.00955898841794607,0.00239431665843421,0
Inpp4a,0.759032965212418,0.843162309366488,1.02582589395088,1.48981416980158,0.799101058109938,0.826515977593148,1.02330389415426
4930439A04Rik,0.00668007876565109,0.00762501638960901,0.00458759496423011,0.00444338925660477,0.00483807337194743,0.00239431665843421,0.00821781144889055
Coa5,0.0481502963805536,0.0508552295788534,0.0169108640788652,0.0121842405693515,0.0399188658818503,0.0406027909855842,0.00797639194881971
Unc50,0.0653841270113682,0.0703445113473446,0.0463860485264364,0.0426694248547517,0.0799924294200433,0.0769585242976413,0.068518206463626
Mgat4a,0.282823191709726,0.238580898986499,0.258161736136399,0.311410102358571,0.243399989580903,0.357786471694944,0.176731464164464
2010300C02Rik,1.79136567446378,1.64957437971008,1.99614369547306,2.78661149307507,1.57769253578773,1.86205539903047,1.00027480067279
4930556I23Rik,0.000915459176013505,0,0.00224341872475141,0,0.00686471203591354,0,0
Tsga10,0.635806140158688,0.557226901674013,0.57687405279081,0.421117618409625,0.482124915600161,0.949028581652667,0.466323123305729
Gm26805,0.0110144188035715,0.000926793164047765,0.00331300442457687,0.00203534954380693,0,0.0228098574579266,0
Lipt1,0.0131485750242703,0.0063956520415593,0.00101056361691044,0.00472653244419967,0.0087378473473238,0.0162596201823468,0.00352616893381698
Mitd1,0.180724326453793,0.183300565462427,0.0782542877040063,0.128277378946118,0.184530912369351,0.209413459584682,0.161370466525426
Mrpl30,0.0621047126308734,0.0591784782489151,0.043893559670902,0.0519175367198187,0.0493026615505679,0.0317378134235894,0.0295819293970515
Gm15457,0.00177167753768004,0.00250343462208564,0.00282917584068855,0.00810108898767644,0.00529987065806528,0,0
Txndc9,0.175004774914032,0.165591780546985,0.121202867954848,0.11806451455661,0.174451369091188,0.1270685319017,0.0954636439882679
Eif5b,0.842577343024073,0.824819628612734,0.739563468455265,0.786497921117814,0.796928044628533,0.846119904942098,0.834178669181249
Rev1,1.05572460158732,1.03971976058924,0.927874158920583,0.76663012402515,0.883158949858886,1.2331795624552,0.776168173570932
Gm37062,0.00168178221880157,0.00167216865894415,0,0,0.00155428849957071,0,0
Gm5099,0.00219451861917377,0.000504643527886198,0.000755011236077215,0.0242258782039237,0.0119547249931334,0,0.00517380212404587
Aff3,5.19343643262305,5.84022502159334,3.60301551041753,4.22843377260598,4.98004344448637,3.44378452168211,3.22152432335514
Gm16150,0.0884175734699884,0.0724201118076446,0.0101788051074315,0.0356853251414281,0.0813161042004058,0.0333786329946726,0.00195973758329865
Gm16151,0.00804643918136468,0.0149753207286445,0,0,0.00791025700075729,0,0
Gm16152,0.293627043427809,0.346294500065637,0.0659254470510276,0.0650549072438241,0.249126681253324,0.113835135422751,0.0277799350357618
Lonrf2,0.452094364665201,0.440856503410802,0.315833426642965,0.303464652363353,0.449281635946947,0.378697424099982,0.301655994125747
Chst10,0.180640053139191,0.175767084568244,0.0659144798943506,0.111836413426001,0.167700140615964,0.181071748829386,0.0590506568832566
Pdcl3,0.0534399046844896,0.0526614730300444,0.0727535224040957,0.100134428008011,0.0333951629210819,0.0523553488889836,0.110314393641585
Npas2,2.9216767365722,3.04454427335852,1.92921307752346,1.86975779501602,2.52694364038852,2.0732676957868,1.77433574274723
Rpl31,0.110729360468699,0.0998272707037505,0.0314665505152798,0.0835765113504976,0.06708256483335,0.0926934607436305,0.0674286392287133
Tbc1d8,0.303594448949099,0.328744564972676,0.279487948706299,0.376100096014528,0.29432103777489,0.386848338098312,0.19707755091357
Cnot11,0.0476218374245993,0.0875025552492488,0.0480924140017317,0.0488390376920946,0.075294365657848,0.107203987313579,0.0249736127480878
Gm15832,0.0224063954243085,0.0320088892168732,0.0321180824190072,0.0294033202558229,0.0343238871221844,0.0167903115145049,0.0246570544308385
Rnf149,0.292438070663551,0.329174953179822,0.277956707699163,0.325143617438549,0.343688084794395,0.312979454593358,0.247650817799954
Creg2,0.410488161635091,0.387469897979383,0.296506923262308,0.380170954216459,0.36650120323019,0.366736136761805,0.23508982488647
D930019O06Rik,0.01138568618754,0.0117039667537753,0.00644884294132408,0,0.00774455484997507,0.00485944776263736,0.00322148342868924
Rfx8,0.00649463776317178,0.00810721744381821,0.00797311314096344,0.012592603957541,0.0131585951681706,0.0178288039315895,0.00241359277524793
